2,1.0.1,mum-btas1.ims.mnc862.mcc405.3gppnetwork.org,sip:+919872001093;npdi;rn=3093@ims.mnc862.mcc405.3gppnetwork.org;user=phone,,tel:+919872001693,,05312017190851169,05312017190855988,05312017190857088,1100,1,0,"User Triggered",,1,1,2a9040abdd2e5f7d74a2c923b69cb1bc,10215c349-61c67123@172.17.216.54,sip:+919872001093@ims.mnc862.mcc405.3gppnetwork.org,aaa://www.as.rancore1.com:6761;1496237754;1,{[0]:<m=audio 7884 RTP/AVP 98 102 |{[0]:b=AS:41[1]:a=rtpmap:98 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|0|||||1>},,2100200200,1,ims.mnc862.mcc405.3gppnetwork.org,3GPP-E-UTRAN-TDD;utran-cell-id-3gpp=40586200010006011,npdi;rn=3093,229872000010,229872000011,1,,,0,,,,0,,0

1,1.0.1,mum-btas1.ims.mnc862.mcc405.3gppnetwork.org,tel:+919872001093,sip:+919872001093;npdi;rn=3093@ims.mnc862.mcc405.3gppnetwork.org;user=phone,sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,tel:+919872001693|sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,05312017190851128,05312017190856130,05312017190857093,963,1,0,"User Triggered",,1,0,2a9040abdd2e5f7d74a2c923b69cb1bc,10215c349-61c67123@172.17.216.54,sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,aaa://www.as.rancore1.com:6761;1496237754;0,{[0]:<m=audio 54324 RTP/AVP 98 102 |{[0]:b=AS:41[1]:a=rtpmap:98 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|0|||||1>},,2100200200,1,ims.mnc862.mcc405.3gppnetwork.org,3GPP-E-UTRAN-TDD;utran-cell-id-3gpp=40586200010006011,npdi;rn=3093,229872000010,229872000011,1,,,0,,,,0,,0

4,1.0.1,mum-btas1.ims.mnc862.mcc405.3gppnetwork.org,sip:+919872001686;npdi;rn=3093@ims.mnc862.mcc405.3gppnetwork.org;user=phone,,tel:+919872001693,,05312017190934677,05312017190934735,05312017190950062,15327,1,0,,,1,1,82c041ebd7e893c27b8a73c92f4ccd2a,1104d5325-56537641@172.17.216.54,sip:+919872001686@ims.mnc862.mcc405.3gppnetwork.org,aaa://www.as.rancore1.com:6761;1496237754;3,{[0]:<m=audio 30950 RTP/AVP 97 102 |{[0]:b=AS:40[1]:a=rtpmap:97 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|0|||||1>},,2100200200,1,ims.mnc862.mcc405.3gppnetwork.org,,npdi;rn=3093,229872000010,,,,,0,,,,0,,0

3,1.0.1,mum-btas1.ims.mnc862.mcc405.3gppnetwork.org,tel:+919872001686,sip:+919872001686;npdi;rn=3093@ims.mnc862.mcc405.3gppnetwork.org;user=phone,sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,tel:+919872001693|sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,05312017190934643,05312017190934752,05312017190950066,15314,1,0,,,1,0,82c041ebd7e893c27b8a73c92f4ccd2a,1104d5325-56537641@172.17.216.54,sip:+919872001693@ims.mnc862.mcc405.3gppnetwork.org,aaa://www.as.rancore1.com:6761;1496237754;2,{[0]:<m=audio 54332 RTP/AVP 97 102 |{[0]:b=AS:40[1]:a=rtpmap:97 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|0|||||1>},,2100200200,1,ims.mnc862.mcc405.3gppnetwork.org,3GPP-E-UTRAN-TDD;utran-cell-id-3gpp=40586200010006011,npdi;rn=3093,229872000010,229872000011,1,,,0,,,,0,,0

6,1.0.1,mum-btas1.ims.mnc862.mcc405.3gppnetwork.org,sip:+919872001686;npdi;rn=3093@ims.mnc862.mcc405.3gppnetwork.org;user=phone,,tel:+919872001693,,05312017191003005,05312017191003062,05312017191019183,16121,1,3,,,7,1,2e1b6adf64176bfe64b980d0c8cd1e34,11332d04f-5a1eb285@172.17.216.54,sip:+919872001686@ims.mnc862.mcc405.3gppnetwork.org,aaa://www.as.rancore1.com:6761;1496237754;5,{[0]:<m=audio 30952 RTP/AVP 97 102 |{[0]:b=AS:40[1]:a=rtpmap:97 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|0|||||1>},{[0]:<m=audio 7906 RTP/AVP 98 102 |{[0]:b=AS:41[1]:a=rtpmap:98 AMR-WB/16000[2]:a=rtpmap:102 telephone-event/16000}|1|||||1>},0000000000,1,ims.mnc862.mcc405.3gppnetwork.org,,npdi;rn=3093,229872000010,,,,,0,,,,0,,0

